Activation,Alpha,Hidden_layer_sizes,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean F1,Std F1
tanh,0.001,"(100,)",0.8944402217651793,0.01998812412928373,0.8913250368214678,0.023269075611869226,0.8944402217651793,0.01998812412928373,0.8909258607113074,0.022308253313792145
tanh,0.01,"(50, 50)",0.8925556648484306,0.01867248638211669,0.8899872017883842,0.020406264458861456,0.8925556648484306,0.01867248638211669,0.8882140110170619,0.019042855286475015
relu,0.01,"(50, 50)",0.892063846910489,0.02569933775572144,0.8930036447456178,0.023252566056583397,0.892063846910489,0.02569933775572144,0.8860555754459142,0.026835159636935633
tanh,0.01,"(100,)",0.8916122686220154,0.017717004118041373,0.8882599911777994,0.019789923786459978,0.8916122686220154,0.017717004118041373,0.8859424359963303,0.019079385112922835
relu,0.0001,"(50, 50)",0.8878051506751319,0.02205639320463762,0.889029354010972,0.01962055142875419,0.8878051506751319,0.02205639320463762,0.8836901098941222,0.019057714049636423
tanh,0.001,"(50, 50)",0.8882835553965842,0.020140847785353067,0.8840259628950982,0.02207986163379853,0.8882835553965842,0.020140847785353067,0.8831903466007281,0.021608566211401066
tanh,0.0001,"(50, 50)",0.8887530179737102,0.022476542809077047,0.8821848637781319,0.027026593700431957,0.8887530179737102,0.022476542809077047,0.8822414405281629,0.02572321024044905
relu,0.001,"(50, 50)",0.8868550478404721,0.02414910015088803,0.8849212978909167,0.027799216752023518,0.8868550478404721,0.02414910015088803,0.8802875714663483,0.027046566274103956
tanh,0.01,"(50,)",0.8816641330591075,0.014798212777582089,0.8773261115240244,0.017108317837607828,0.8816641330591075,0.014798212777582089,0.8771921056983025,0.015739499866449718
tanh,0.001,"(50,)",0.8807095591522847,0.015288335702791438,0.8769641794385483,0.019314196474024704,0.8807095591522847,0.015288335702791438,0.8767256827490048,0.017612047204340963
tanh,0.0001,"(100,)",0.8835531610480192,0.015458580704439817,0.8773399425029555,0.020828090880029723,0.8835531610480192,0.015458580704439817,0.8765661594422923,0.020043997615955756
tanh,0.0001,"(50,)",0.8816686041312707,0.017672324335661065,0.8763990148280969,0.022396264747220153,0.8816686041312707,0.017672324335661065,0.8761871869513186,0.02022518246702765
relu,0.001,"(50,)",0.8759724581954753,0.01980075022115318,0.8726265762438737,0.023658587712422064,0.8759724581954753,0.01980075022115318,0.8695400830816847,0.021982445468316496
relu,0.0001,"(100,)",0.87363185191809,0.016719921084103338,0.8710023261058343,0.024172262115040328,0.87363185191809,0.016719921084103338,0.8655852666196218,0.023082854004835663
relu,0.0001,"(50,)",0.8721876956094071,0.026762467052166054,0.8721675876806705,0.02100178502574366,0.8721876956094071,0.026762467052166054,0.8653184798205421,0.02774291571197876
relu,0.01,"(50,)",0.8755029956183492,0.018033231397575032,0.868603188417811,0.020814767736940673,0.8755029956183492,0.018033231397575032,0.8651470508806371,0.02409812387782571
relu,0.01,"(100,)",0.8669923097558794,0.033719313409635424,0.8750931408395697,0.028644507554542665,0.8669923097558794,0.033719313409635424,0.8602939251521462,0.03465645253532643
relu,0.001,"(100,)",0.8679312349101315,0.02625881854759895,0.8635255052270603,0.05308146857535626,0.8679312349101315,0.02625881854759895,0.8539240436004599,0.04486874781532017
